2022-11-12 0:52:37 - PHP Notice:  Undefined index: payment_zone_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-12 0:52:37 - PHP Notice:  Undefined index: payment_address_format in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-12 0:52:37 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 410
2022-11-12 0:52:37 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 410
2022-11-12 1:00:31 - PHP Notice:  Undefined index: store_id in /var/www/html/catalog/controller/checkout/confirm.php on line 107
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 166
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 167
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 168
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 169
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 170
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 171
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 172
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 173
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 174
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 175
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 176
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 177
2022-11-12 1:00:31 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 260
2022-11-12 1:00:31 - PHP Notice:  Undefined index: invoice_prefix in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-12 1:00:31 - PHP Notice:  Undefined index: store_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-12 1:00:31 - PHP Notice:  Undefined index: store_name in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-12 1:00:31 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 1:00:31 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 1:01:50 - PHP Notice:  Undefined index: store_id in /var/www/html/catalog/controller/checkout/confirm.php on line 107
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 166
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 167
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 168
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 169
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 170
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 171
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 172
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 173
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 174
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 175
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 176
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 177
2022-11-12 1:01:50 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 260
2022-11-12 1:01:50 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 427
2022-11-12 1:01:50 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 427
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 166
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 167
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 168
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 169
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 170
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 171
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 172
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 173
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 174
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 175
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 176
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 177
2022-11-12 1:03:14 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 260
2022-11-12 1:03:14 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 1:03:14 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 1:03:43 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 260
2022-11-12 1:03:43 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 1:03:43 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 1:04:04 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 1:04:04 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-13 0:17:44 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:17:44 - PHP Notice:  Undefined index: payment_code in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:17:44 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:17:44 - PHP Notice:  Undefined index: affiliate_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:17:44 - PHP Notice:  Undefined index: commission in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:17:44 - PHP Notice:  Undefined index: marketing_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:17:44 - PHP Notice:  Undefined index: tracking in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:18:56 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:18:56 - PHP Notice:  Undefined index: affiliate_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:18:56 - PHP Notice:  Undefined index: commission in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:18:56 - PHP Notice:  Undefined index: marketing_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:18:56 - PHP Notice:  Undefined index: tracking in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:19:23 - PHP Notice:  Undefined index: affiliate_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:19:23 - PHP Notice:  Undefined index: commission in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:19:23 - PHP Notice:  Undefined index: marketing_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:19:23 - PHP Notice:  Undefined index: tracking in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:19:55 - PHP Notice:  Undefined index: marketing_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:19:55 - PHP Notice:  Undefined index: tracking in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 0:20:14 - PHP Notice:  Undefined index: tracking in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:52:53 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/controller/checkout/order.php on line 48
2022-11-13 1:52:53 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/controller/checkout/order.php on line 49
2022-11-13 1:52:53 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/controller/checkout/order.php on line 65
2022-11-13 1:52:53 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/controller/checkout/order.php on line 66
2022-11-13 1:52:53 - PHP Notice:  Undefined index: customer_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:52:53 - PHP Notice:  Undefined index: customer_group_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:52:53 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:52:53 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:52:53 - PHP Notice:  Undefined index: email in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:52:53 - PHP Notice:  Undefined index: telephone in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:08 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/controller/checkout/order.php on line 52
2022-11-13 1:54:08 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/controller/checkout/order.php on line 53
2022-11-13 1:54:08 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/controller/checkout/order.php on line 69
2022-11-13 1:54:08 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/controller/checkout/order.php on line 70
2022-11-13 1:54:08 - PHP Notice:  Undefined index: customer_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:08 - PHP Notice:  Undefined index: customer_group_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:08 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:08 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:08 - PHP Notice:  Undefined index: email in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:08 - PHP Notice:  Undefined index: telephone in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:10 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/controller/checkout/order.php on line 52
2022-11-13 1:54:10 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/controller/checkout/order.php on line 53
2022-11-13 1:54:10 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/controller/checkout/order.php on line 69
2022-11-13 1:54:10 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/controller/checkout/order.php on line 70
2022-11-13 1:54:10 - PHP Notice:  Undefined index: customer_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:10 - PHP Notice:  Undefined index: customer_group_id in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:10 - PHP Notice:  Undefined index: firstname in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:10 - PHP Notice:  Undefined index: lastname in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:10 - PHP Notice:  Undefined index: email in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 1:54:10 - PHP Notice:  Undefined index: telephone in /var/www/html/catalog/model/checkout/order.php on line 4
2022-11-13 3:02:50 - PHP Warning:  array_slice() expects parameter 1 to be array, int given in /var/www/html/catalog/controller/extension/module/featured.php on line 17
2022-11-13 3:02:50 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/catalog/controller/extension/module/featured.php on line 19
